Poet name,Poem name,Poem
عامر اظہر,ابھی قبول ہے مجھ کو اداس ہو جانا,"ابھی قبول ہے مجھ کو اداس ہو جانا
ابھی نصیب ہے قدموں میں ان کے سو جانا
کسی کتاب سے کیسے کوئی نکلتا ہے
کسی کتاب سے ٹوٹا گلاب تو جانا
تری شبیہ میں دیکھا جہاں میں جو دیکھا
تری مثال سے جانا جہاں میں جو جانا
زمانہ ایک میں تحلیل کر رہا ہے مگر
ہمیشہ میں نے سفید و سیہ کو دو جانا
یہ کس کے اشک پڑے ہیں یہ قبر کس کی ہے
یہ کون روک رہا ہے کسی کا کھو جانا
یہ کتنی مرتبہ کتنوں کے ساتھ ہوتا ہے
نکل کر ایک سفر پر سفر کا ہو جانا
بلا کے شعر تھے عامرؔ بلا کا شور بھی تھا
بلا کا شہر تھا جس نے نہ آپ کو جانا"
وکرم,رقصاں یہ کائنات ہے چل رقص کرتے ہیں (ردیف .. ے),"رقصاں یہ کائنات ہے چل رقص کرتے ہیں
ہر ایک شے نشاط ہے چل رقص کرتے ہیں
ہم سارے لوگ ناچتے زنداں میں قید ہیں
سو رقص ہی نجات ہے چل رقص کرتے ہیں
ہوتے ہی صبح دار پہ جائیں گے ہم سبھی
لیکن ابھی تو رات ہے چل رقص کرتے ہیں
پھر سے وہی ہے دشت وہی پیاس اور ہم
پھر سے وہی فرات ہے چل رقص کرتے ہیں
گرداب بحر عشق بہت دور ہے تو کیا
غم کا بگولا ساتھ ہے چل رقص کرتے ہیں
دھک دھک کی دھن پہ رقص کناں ہے ابھی بھی دل
یہ کم کیا التفات ہے چل رقص کرتے ہے"
وکرم,کوئی غم نہ تھا مگر اے پری زاد روئے ہم,"کوئی غم نہ تھا مگر اے پری زاد روئے ہم
اک رسم بھر نبھائی ترے بعد روئے ہم
یہ سچ بھی ٹھیک ہے پہ تصور کمال تھا
سو وصل میں بھی ہجر کیا یاد روئے ہم
ہم کو مخالفت کی لگی لت کچھ اس قدر
جب بھی کہا کسی نے رہو شاد روئے ہم
ہم کو ہنر ملا تو نمائش بھی ہم نے کی
آتے ہی اس زمیں پہ خدا زاد روئے ہم
کار ثواب دین میں لازم تھا ہم پہ سو
کر دی ستم گران کی امداد روئے ہم
اتنی اداس رات تھی لالچ میں پڑ گئے
بندھن حیا کے توڑ کے آزاد روئے ہم"
وکرم,ظلمات کا سفر ہے چلو بولتے رہو,"ظلمات کا سفر ہے چلو بولتے رہو
کھو جاؤ گے خموش نہ ہو بولتے رہو
اس شہر خامشی میں ہو زندہ ثبوت دو
یہ چپ کی قبر چھوڑو اٹھو بولتے رہو
چپ رہنا کفر اور خموشی حرام ہے
مومن ہو دین عشق کے تو بولتے رہو
اتنی طویل رات ہمیں کاٹنی ہے ساتھ
بے انت داستان کہو بولتے رہو
اپنا حسین خواب سناتے رہو مجھے
یہ خواب ٹوٹنے ہی نہ دو بولتے رہو
یہ ساری کائنات خموشی کا رقص ہے
آواز میں ثبات ہے سو بولتے رہو
جتنا سنو گے اتنا سنائیں گے تم کو لوگ
دنیا کی ایک بھی نہ سنو بولتے رہو
پھر سے یہ کائنات بناؤ گے اے خدا
تو کن سے بن نہ پائے گی گو بولتے رہو
سی دی گئی ہے آنکھ زباں چاک ذہن کند
اور حکم ہے کہ چپ نہ رہو بولتے رہو"
نبیل احمد نبیل,ہر قدم پاؤں میں ہیں انگارے,"ہر قدم پاؤں میں ہیں انگارے
تیری رائے ہے کیا خدا بارے
دونوں کس بے بسی میں ملتے ہیں
آہوئے جاں غزال تاتارے
پاؤں ٹکتا نہیں زمیں پہ کہیں
سر پہ کیا گھومتے ہیں سیارے
آنکھ کی راہ سے نکل آئے
چاند راتوں کے سرد مہ پارے
یہ نہ سمجھو گنہ گار نہیں
کوئی پتھر اگر اٹھا مارے"
وکرم,میں کل لکھوں گا پھر اک کہانی ابھی کہانی مٹا رہا ہوں,"میں کل لکھوں گا پھر اک کہانی ابھی کہانی مٹا رہا ہوں
لبوں پہ بوسے کی جو نمی ہے وہ رکھ کے انگلی مٹا رہا ہوں
مجھے بنانی ہے ایک مورت ہو خواب پیکر خیال صورت
بہت زیادہ لگے گی مٹی سو اپنی ہستی مٹا رہا ہوں
میں چیختا ہوں میں بھاگتا ہوں کیوں چیختا ہوں کیوں بھاگتا ہوں
یہاں کی گلیوں میں میں نے لکھی تھی جو خموشی مٹا رہا ہوں
میں ایک ٹوٹا ہوا ستارا جو کہکشاں میں پھروں ہوں مارا
نصیب لکھوں گا کیا تمہارا میں تو مجھے ہی مٹا رہا ہوں
یہ دور و دنیا غلط پتہ ہے جہاں میں غلطی سے آ گیا ہوں
کبھی کسی سے نہ ہو یہ غلطی سو یہ پتہ ہی مٹا رہا ہوں
مٹانے کی لت لگی ہے مجھ کو یہ لت مٹانے لگی ہے مجھ کو
جو مٹ چکا ہے جو کھپ چکا ہے اسے میں اب بھی مٹا رہا ہوں"
نبیل احمد نبیل,آئی ہے ایسے غم میں روانی پرت پرت,"آئی ہے ایسے غم میں روانی پرت پرت
بہنے لگا ہے آنکھ سے پانی پرت پرت
باندھا ہے جب سے تیرے تصور کو شعر میں
شعروں کے کھل رہے ہیں معانی پرت پرت
چھایا رہا ہو جیسے بڑھاپا نفس نفس
گزری ہے ایسے اپنی جوانی پرت پرت
دل کے ورق ورق پہ ترا نام ثبت ہے
اک تو ہی دھڑکنوں میں ہے جانی پرت پرت
گرد و غبار غم سے اٹی ہے فضا فضا
ہوتی تھی کوئی رت جو سہانی پرت پرت
لیکن بنا نہ قیس کی صورت ہمارا نام
صحرا کی خاک ہم نے بھی چھانی پرت پرت
کوئی جواز دے نہ سکا میری بات کا
اس نے غلط کہا ہے زبانی پرت پرت
یادیں دلا رہی ہے ستم گر کی بار بار
مجھ کو رلا رہی ہے نشانی پرت پرت
حاصل کروں گا جیسے بھی ممکن ہوا اسے
میں نے نبیلؔ دل میں ہے ٹھانی پرت پرت"
وکرم,صحرا نوردیوں کے عوض گھر دیا گیا,"صحرا نوردیوں کے عوض گھر دیا گیا
پیاسی ندی کو خارا سمندر دیا گیا
بس لمس بھر جہان دکھایا گیا ہمیں
دنیا کا ذائقہ بھی نگہ بھر دیا گیا
اس کو ذرا سا شک تھا محبت کا اور بس
اس اور سے یقین برابر دیا گیا
ہم کافروں نے اس کو خدا ہی بنا لیا
جو شخص تھا برائے پیامبر دیا گیا
جن کو ملی امید خدا والے ہو گئے
منکر ہوئے وہ جن کو فقط ڈر دیا گیا
ہم کو سزائے نقل مکانی تو دی مگر
دیوار و در کو رخت سفر کر دیا گیا"
نبیل احمد نبیل,آنکھوں کے اضطراب سے ایسے جھڑے ہیں خواب,"آنکھوں کے اضطراب سے ایسے جھڑے ہیں خواب
شب کے شجر پہ نیند کی صورت پڑے ہیں خواب
آتی نہیں ہے نیند مجھے اس لیے بھی دوست
آنکھوں کی پتلیوں میں ہزاروں جھڑے ہیں خواب
نکلا نہ پھر بھی کوئی نتیجہ بہار کا
تعبیر سے اگرچہ بہت ہی لڑے ہیں خواب
جب بھی چلا ہوں نیند کے رستے پہ یوں لگا
ہاتھوں کو جوڑ کر مرے آگے کھڑے ہیں خواب
دل سے غموں کا اس لیے چھالا نہ جا سکا
کانٹوں کی مثل چشم طلب میں اڑے ہیں خواب
تجھ کو کہاں خبر ہے کہ کیسے ہیں رت جگے
تجھ کو کہاں خبر ہے کہ کتنے کڑے ہیں خواب
اس بار بھی یہاں خس و خاشاک کی طرح
آنکھوں میں جس قدر تھے وہ سارے سڑے ہیں خواب
آیا نہیں نبیلؔ پلٹ کے وہ ایک شخص
رنجیدہ اس لیے بھی ہمارے بڑے ہیں خواب"
نبیل احمد نبیل,تری تلاش میں ہے سائبان بھی ہم بھی,"تری تلاش میں ہے سائبان بھی ہم بھی
ہمارے ساتھ ہماری تھکان بھی ہم بھی
فلک کو چھونے کی خواہش ہزار دل میں لیے
کہ سرگراں ہے ہماری اڑان بھی ہم بھی
ہے انتظار میں برسوں سے رہنماؤں کے
ہماری منزل جاں کا نشان بھی ہم بھی
وہی ہے نوک سنان ستم گران جہاں
وہی ہے کرب و بلا امتحان بھی ہم بھی
اسی کا نام لیے جائیں گے قیامت تک
ہمارے ساتھ رہے گی اذان بھی ہم بھی
تلاش منزل ہستی میں اک زمانہ ہوا
بھٹکتے پھرتے ہیں سب کاروان بھی ہم بھی
اسی پرانی کہانی پہ ہم جیے جائیں
وہی حوالے وہی داستان بھی ہم بھی
نبیلؔ روز ازل سے تھے جیسے ویسے ہیں
ستم گروں کے ستم ہیں لگان بھی ہم بھی"
نبیل احمد نبیل,دیکھ کر اٹھتا ہوا شوق کا سر یعنی تو,"دیکھ کر اٹھتا ہوا شوق کا سر یعنی تو
کاٹ ڈالے گا مرا دست ہنر یعنی تو
میری تقدیر میں لکھے گا اندھیروں کا سکوت
روند ڈالے گا مری تازہ سحر یعنی تو
بس یہی ہے مرے دامان سفر میں اب تو
میری منزل ہے مری راہ گزر یعنی تو
جب بھی آئے گا سوا نیزے پہ خورشید غضب
پھولنے پھلنے نہیں دے گا شجر یعنی تو
مجھ کو معلوم ہے اے دوست اٹھا لیتا ہے
میرے حصے کے سبھی برگ و ثمر یعنی تو
تیرے تیور یہ بتاتے ہیں اے جانے والے
لوٹ کے اب نہ کبھی آئے گا گھر یعنی تو
یہ گزارش ہے مری تجھ سے گزارش میری
میری نس نس میں اتر تو ہی اتر یعنی تو
خوشبوئے گل کی طرح رنگ شفق کی صورت
دل کے آنگن میں بکھر اور بکھر یعنی تو
نکھرا نکھرا سا ہے امید کا موسم یوں بھی
شاخ امید پہ کچھ اور سنور اور سنور یعنی تو
راہ الفت میں مجھے تیری قسم جان نبیلؔ
ہے مرے پیش نظر پیش نظر یعنی تو"
نبیل احمد نبیل,صورت گل کبھی زلفوں میں سجا کر لے جائے,"صورت گل کبھی زلفوں میں سجا کر لے جائے
جب بھی چاہے وہ مجھے اپنا بنا کر لے جائے
دل کو رکھا ہے سر راہ محبت کب سے
کوئی تو آئے ادھر اور اٹھا کر لے جائے
رات بھر جاگتا رہتا ہوں میں اس خوف کے ساتھ
تجھ کو مجھ سے نہ کوئی شخص چرا کر لے جائے
جب بھی آتی ہے کسی اور سے آندھی اکثر
میرے آنگن سے ترے نقش اٹھا کر لے جائے
دعوت عام ہے اس جان کے دشمن کو مجھے
تلخیاں ماضی کی اس بار بھلا کر لے جائے
جب بھی تعبیر کا امکان نظر آتا ہے
میری آنکھوں سے کوئی خواب چرا کر لے جائے
میں تو اس شخص سے کہتا رہا ہر بار نبیلؔ
مجھ کو دو بول محبت کے سنا کر لے جائے"
نبیل احمد نبیل,دور کچھ اہل جنوں کی بے قراری کیجیے,"دور کچھ اہل جنوں کی بے قراری کیجیے
ہو سکے تو ان کی تھوڑی غم گساری کیجیے
جن کے بستر سے نہیں جاتی کوئی سلوٹ کبھی
ان کی آنکھوں میں وفا کے خواب جاری کیجیے
عشق کی قسمت یہی ہے عشق کا منصب یہی
جاگیے شب بھر یوں ہی اختر شماری کیجیے
نوچیے زخم جگر کو آنکھ بھر کر روئیے
اور کب تک ہجر میں یوں آہ و زاری کیجیے
بھیجئے کوئی بلاوا کوئی چٹھی بھیجئے
اپنے ان پردیسیوں سے شہر داری کیجیے
لوگ ہیں تیار ہجرت کے لیے اس شہر سے
پھر کوئی تازہ نیا فرمان جاری کیجیے
پھر کوئی تازہ بپا ہونے کو ہے اک معرکہ
نہر فرات کربلا کو پھر سے جاری کیجیے
کام آئے گا نہ کوئی مشکلوں میں دیکھنا
جس قدر بھی دوستوں سے وضع داری کیجیے
تشنۂ تکمیل ٹھہرے بات نہ کوئی نبیلؔ
گفتگو جتنی بھی ہے دل میں وہ ساری کیجیے
آئے گا کب سانس ورنہ دوسرا تجھ کو نبیلؔ
دل کے زخموں کی نہ ایسے پردہ داری کیجیے"
نبیل احمد نبیل,کسی کو خار کسی سانس کو ببول کیا,"کسی کو خار کسی سانس کو ببول کیا
جو ہم نے کار محبت کیا فضول کیا
ہمیشہ خاک اڑائی ہے راستوں نے مری
اس انتظار کی شدت نے مجھ کو دھول کیا
سجا کے رکھ دیا کانٹا بھی میرے پہلو میں
کسی بہار نے مجھ کو کبھی جو پھول کیا
رہ حیات میں آسائشوں کو ٹھکرا کر
تمہارے درد کو میں نے سدا قبول کیا
ہمیشہ پھولوں کو بدلا ہے خار و خس میں نبیلؔ
کسی بھی خار کو لیکن کبھی نہ پھول کیا"
نبیل احمد نبیل,طے ہوا ہے اس طرف کی رہ گزر کا جاگنا,"طے ہوا ہے اس طرف کی رہ گزر کا جاگنا
میرے پاؤں میں کسی لمبے سفر کا جاگنا
بولتے تھے کیا پرندے سے در و دیوار پر
یاد ہے اب بھی مجھے وہ اپنے گھر کا جاگنا
اب کہاں موسم ہے وہ دار و رسن کا دوستو
اب کہاں عشاق کے شانوں پہ سر کا جاگنا
ورنہ مجھ کو دھوپ کا صحرا کبھی نہ چھوڑتا
آ گیا ہے کام میرے اک شجر کا جاگنا
اک پرانی آرزو ٹھہری اجالوں کی طلب
اک پرانا خواب ٹھہرا ہے سحر کا جاگنا
آسماں کھلتے گئے مجھ پر زمینوں کی طرح
ایک لمحے کے لیے تھا بال و پر کا جاگنا
میں نبیلؔ اس خوف سے اک عمر سویا ہی نہیں
زندگی بھر کا ہے سونا لمحہ بھر کا جاگنا"
نبیل احمد نبیل,تو نہ آئے گا مجھے جب سے یقیں آ گیا ہے,"تو نہ آئے گا مجھے جب سے یقیں آ گیا ہے
آسماں جیسے مرا زیر زمیں آ گیا ہے
جس کے ملنے کو مسافت تھی کئی برسوں کی
ایک ہی پل میں وہ ہم زاد یہیں آ گیا ہے
نکھرا نکھرا سا ہے ہر شعر غزل کا میری
سوچ میں جب سے تصور وہ حسیں آ گیا ہے
ہر طرف طنز کے نشتر ہیں ہماری جانب
کس کے ہاتھوں میں مرا دین مبیں آ گیا ہے
آ گیا کام مرے روز کا رونا دھونا
جو نہ آتا تھا کبھی میرے قریں آ گیا ہے
گردش وقت ٹلی ایک ہی لمحے کو یوں ہی
رخ پہ زلفوں کو بکھیرے وہ حسیں آ گیا ہے
صحن گلشن میں سراسیمگی کیسی ہے نبیلؔ
اہل گلشن میں کوئی دشت نشیں آ گیا ہے"
نبیل احمد نبیل,چور تھے لوگ جو سنگینیٔ ہجرت سے یہاں,"چور تھے لوگ جو سنگینیٔ ہجرت سے یہاں
سانس بھی آتا نہیں ان کو سہولت سے یہاں
وہ کسی پھول کسی غنچے کے حق دار نہیں
دشت گلزار بناتے ہیں جو محنت سے یہاں
چوغا پہنایا گیا جھوٹ کا سچائی کو
اور معانی لیے نفرت کے محبت سے یہاں
ہم نے بنیاد رکھی زہر بجھے سجدوں کی
تیغ کا کام لیا ہم نے عبادت سے یہاں
ہاتھ حالات نے ڈالے ہیں گریبانوں میں
زندگی کیسے گزارے کوئی عزت سے یہاں
پیٹ پہ باندھا گیا صبر کا بھاری پتھر
اور گزارا گیا ہر لمحہ مشقت سے یہاں
صاحب منبر و محراب بھی کیا بھوکا ہے
پیٹ کی آگ بجھاتا ہے شریعت سے یہاں
سانس چبھتا رہا کانٹے کی طرح دل میں نبیلؔ
جسم ڈھلتے رہے چھالوں میں اذیت سے یہاں"
نبیل احمد نبیل,کرن کرن یہ کسی دیدۂ حسد میں ہے,"کرن کرن یہ کسی دیدۂ حسد میں ہے
ہر اک چراغ ہمارا دھویں کی زد میں ہے
جسے نکالا ہے ہندسوں سے زائچہ گر نے
بقا ہماری اسی پانچ کے عدد میں ہے
ہر ایک شخص کی قامت کو ناپ اور بتا
مرے علاوہ یہاں کون اپنے قد میں ہے
گھروں کے صحن کچھ ایسے سکڑ سمٹ گئے ہیں
ہر ایک شخص مکیں جس طرح لحد میں ہے
لگے ہیں شاخوں پہ جس دن سے پھول پات نئے
ہر ایک پیڑ حویلی کا چشم بد میں ہے
نبیلؔ ایسے ادھورے ہیں روز و شب جیسے
مرا ازل کسی اندیشۂ ابد میں ہے"
نبیل احمد نبیل,چراغ ظلمت بے نور میں جلانا ترا,"چراغ ظلمت بے نور میں جلانا ترا
پسند آیا نہ لوگوں کو آستانہ ترا
یوں ہی گزارو گے تم عرصۂ حیات اگر
نہ ہوگا ایک بھی پل کوئی جاودانہ ترا
بہت قریب سے میں تجھ کو جانتا ہوں میاں
ہر ایک خوب سمجھتا ہوں میں بہانہ ترا
ہمیں بناؤ گے جس وقت لشکری اپنا
خطا نہ ہوگا کسی طور بھی نشانہ ترا
نہ کوئی تجھ کو بچائے گا قتل ہونے سے
پڑھیں گے لوگ جنازہ بھی غائبانہ ترا
نہ دے گا کوئی بھی مشکل گھڑی میں ساتھ ترا
اگرچہ آج یہ گرویدہ ہے زمانہ ترا
سوائے ایک کفن کے نہ کچھ ملے گا تجھے
کسی بھی کام نہ آئے گا یہ خزانہ ترا
اسے بدلنا ہے اک روز خاک میں آخر
سجا کے رکھے گا جو بھی نگار خانہ ترا
نبیلؔ اس کے سوا اور کیا دیا تم نے
ہماری پیٹھ ہے اور دوست تازیانہ ترا"
نبیل احمد نبیل,بجھتی مشعل کی التجا جیسے,"بجھتی مشعل کی التجا جیسے
لوگ ہم کو ملے ہوا جیسے
کوئی انساں نظر نہیں آتا
ہر بشر ہو گیا خدا جیسے
ہاتھ کشکول کی طرح پائے
لب ملے ہم کو التجا جیسے
کر دیا ہے خدا واحد نے
بند ہم پر در دعا جیسے
گرد آلود ایسے سوچیں ہیں
کوئی احساس ہو خفا جیسے
اکثر اوقات ایسے کام کیے
ہم نے ماؤں کی بد دعا جیسے
ایسے لگتا ہے ان سے اپنا نبیلؔ
ٹوٹ جائے گا رابطہ جیسے"
نبیل احمد نبیل,یہ حادثہ بھی سر رہ گزار ہونا تھا,"یہ حادثہ بھی سر رہ گزار ہونا تھا
تری تلاش میں مجھ کو غبار ہونا تھا
اچک لیا ہے انہیں بھی خزاں کے موسم نے
وہ پھول پات کہ جن کو بہار ہونا تھا
ہمیں خبر تھی تری طرز بادشاہی سے
ہنر وروں کو ہی بے اختیار ہونا تھا
انہی کے ہاتھ گریبان میں پڑے ہوئے ہیں
جنہیں سدا سے ہی خدمت گزار ہونا تھا
گماں کی دھول مرے دل پہ مل گیا ہے وہی
وہ شخص جس کو مرا اعتبار ہونا تھا
بھروسہ غیر کی چھاؤں پہ ہم نہ کرتے اگر
سروں پہ سایۂ پروردگار ہونا تھا
بدل دیا انہیں مٹی کے برتنوں میں نبیلؔ
وہ چیزیں جن کو بہت پائیدار ہونا تھا"
